PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,RelSpeed,SpinRate,SpinAxis,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,VertApprAngle,HorzApprAngle,PlateLocHeight,PlateLocSide,ExitSpeed,Angle,Direction,Distance,Level,GameID,PitchUID,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence
318,9/13/2025,44:54.4,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,87.44546,2139.060071,151.124055,5.81033,-0.65731,5.90374,17.31639,-8.87678,-5.945555,0.471272,2.07676,0.51997,73.01217,18.708334,-150.920441,,TeamExclusive,20250913-UofSanDiego-Private-2,bd8a56d0-90d1-11f0-b482-5d1185df5079,High,High,High
319,9/13/2025,45:11.6,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,75.01214,2213.322935,325.20574,5.6694,-0.8791,5.57369,-12.87245,10.11804,-12.550781,2.165526,-0.6192,0.29018,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,c7d1deb0-90d1-11f0-b482-5d1185df5079,High,High,High
320,9/13/2025,45:54.3,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,87.66838,2119.549125,160.774897,5.81441,-0.76819,6.06904,19.00879,-6.17146,-4.795189,1.628656,3.04105,1.25335,71.51726,11.575926,-169.658816,,TeamExclusive,20250913-UofSanDiego-Private-2,e13fba20-90d1-11f0-b482-5d1185df5079,High,High,High
321,9/13/2025,46:12.9,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,75.10443,2121.871104,318.463541,5.71695,-0.87098,5.5396,-6.32933,6.96071,-8.644188,2.614945,2.54514,0.9925,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,ec5eb640-90d1-11f0-b482-5d1185df5079,High,High,High
322,9/13/2025,46:31.2,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,75.34029,2177.563369,305.041676,5.65277,-1.03756,5.62173,-8.34304,14.12855,-9.295187,3.527763,2.02317,1.07388,49.23905,-79.420653,101.549662,1.85802,TeamExclusive,20250913-UofSanDiego-Private-2,f74fc490-90d1-11f0-b482-5d1185df5079,High,High,High
323,9/13/2025,47:01.2,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,76.67321,2140.46666,299.450103,5.66916,-0.89215,5.72976,-5.21362,11.99631,-9.455524,5.024364,1.48715,2.79164,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,0911f8b0-90d2-11f0-b482-5d1185df5079,High,High,High
324,9/13/2025,47:17.4,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,88.28944,2157.710551,153.356886,5.89861,-0.7103,5.98421,19.71855,-9.27193,-4.964512,-0.464087,2.83799,-0.36798,59.03786,72.243818,-176.768235,104.21102,TeamExclusive,20250913-UofSanDiego-Private-2,12cd9440-90d2-11f0-b482-5d1185df5079,High,High,High
325,9/13/2025,47:39.9,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,87.99524,1957.728568,151.930008,5.76198,-0.91656,6.13406,11.49638,-5.43618,-6.243573,1.009578,2.24058,0.47019,81.80088,25.091578,-27.185887,248.68324,TeamExclusive,20250913-UofSanDiego-Private-2,2038f160-90d2-11f0-b482-5d1185df5079,High,High,High
326,9/13/2025,48:13.5,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,87.46954,1991.813608,146.984135,5.8372,-0.93847,5.99779,16.21221,-9.67123,-4.781409,-1.095634,3.33226,-1.14767,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,342c3650-90d2-11f0-b482-5d1185df5079,High,High,High
327,9/13/2025,48:28.1,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,87.58485,2053.529313,155.489939,5.84814,-0.71532,5.90853,15.91304,-6.6578,-5.091791,-0.032556,3.06367,-0.19064,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,3cdaa7a0-90d2-11f0-b482-5d1185df5079,High,High,High
328,9/13/2025,48:42.6,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,87.70791,2085.577545,157.311501,5.89825,-0.76709,6.08438,14.80698,-5.65008,-5.113604,0.04995,3.16922,-0.24989,62.29587,37.793988,23.569832,196.31468,TeamExclusive,20250913-UofSanDiego-Private-2,45917d60-90d2-11f0-b482-5d1185df5079,High,High,High
329,9/13/2025,49:20.5,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,81.26912,1405.575187,144.066957,5.72172,-0.64687,6.15887,13.60804,-8.6604,-7.071284,-0.273777,1.85607,-0.17696,57.45546,-76.131887,-10.636129,0.45206,TeamExclusive,20250913-UofSanDiego-Private-2,5c2fe520-90d2-11f0-b482-5d1185df5079,High,High,High
330,9/13/2025,50:02.5,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,80.04996,1538.066691,132.795856,5.65354,-0.91451,6.1882,13.09654,-12.61477,-8.97148,-1.330377,0.03472,-1.08803,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,753e6280-90d2-11f0-b482-5d1185df5079,High,High,High
331,9/13/2025,50:16.9,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,88.10689,2115.940648,142.373358,5.82766,-0.65441,5.82509,17.4758,-12.39241,-6.087385,-1.533954,1.97966,-1.0471,62.09866,43.716273,114.75324,,TeamExclusive,20250913-UofSanDiego-Private-2,7dd61780-90d2-11f0-b482-5d1185df5079,High,High,High
332,9/13/2025,50:34.7,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,87.61683,2118.976501,159.818352,5.82968,-0.84575,6.07034,17.83765,-6.08709,-5.530667,-0.583943,2.45352,-0.8787,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,886074c0-90d2-11f0-b482-5d1185df5079,High,High,High
333,9/13/2025,50:56.5,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,79.61179,1540.900222,134.37132,5.71516,-0.80994,6.03455,14.42509,-13.12859,-8.379321,-1.947254,0.64257,-1.51614,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,9565bd10-90d2-11f0-b482-5d1185df5079,High,High,High
334,9/13/2025,51:15.3,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,87.43147,2239.783267,173.491836,5.86631,-0.63511,6.16041,19.51245,-2.08099,-5.881318,0.83414,2.02957,0.30901,84.31751,-2.141192,-19.533233,28.32363,TeamExclusive,20250913-UofSanDiego-Private-2,a08ea440-90d2-11f0-b482-5d1185df5079,High,High,High
335,9/13/2025,51:54.3,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,87.75443,2009.988816,145.323025,5.72772,-0.74812,5.90538,16.54064,-10.60225,-6.213227,-0.371686,1.78661,-0.20911,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,b7d0ed20-90d2-11f0-b482-5d1185df5079,High,High,High
336,9/13/2025,52:09.8,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,73.89952,2202.531898,330.718021,5.67725,-0.85672,5.6713,-11.34953,7.30056,-9.401382,2.948113,2.39639,1.28299,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,c127fa80-90d2-11f0-b482-5d1185df5079,High,High,High
337,9/13/2025,52:25.9,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,75.60832,2182.220441,328.968839,5.64841,-0.89876,5.40614,-10.41713,7.24296,-9.210342,2.520324,2.27002,0.85774,50.19424,-41.732894,-87.700969,3.13537,TeamExclusive,20250913-UofSanDiego-Private-2,cab92ab0-90d2-11f0-b482-5d1185df5079,High,High,High
338,9/13/2025,53:05.6,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,82.30221,2240.692657,209.835549,6.41478,2.03992,5.83958,17.8184,9.43477,-6.530844,0.014105,2.50162,1.26634,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,e23c4d20-90d2-11f0-b482-5d1185df5079,High,High,High
339,9/13/2025,53:17.1,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,86.01762,2342.69325,210.238065,6.48488,1.91731,5.95595,18.08253,9.75252,-8.435072,-1.591159,0.48579,-0.37183,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,e9351f30-90d2-11f0-b482-5d1185df5079,High,High,High
340,9/13/2025,53:29.1,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,85.17769,2206.764352,203.092755,6.9086,1.45557,5.65989,23.67391,9.48898,-7.224619,-0.094856,1.66002,0.57659,,,,,TeamExclusive,20250913-UofSanDiego-Private-2,f05130b0-90d2-11f0-b482-5d1185df5079,High,High,High
