player_id,player,team,season,height_in,class_year,bats,throws,hometown_city,hometown_state,high_school
34884,Jacob Campos,Saint Mary's (CA),2026,72,Fr.,BOTH,RIGHT,La Puente,CA,Bishop Amat Memorial HS
34887,Peyton Robidoux,Washington,2026,74,Fr.,LEFT,RIGHT,Smyrna,GA,Whitefield Academy
34889,Matthew Millett,Abilene Christian,2026,74,Fr.,RIGHT,RIGHT,Mansfield,TX,Lake Ridge HS
34890,Ryley Norton,Elon,2026,74,So.,RIGHT,RIGHT,Pinehurst,NC,P27 Academy
34893,Caleb Scott,Bethune-Cookman,2026,69,Jr.,BOTH,RIGHT,Orlando,FL,Bishop Moore Catholic
34894,Nathan Wines,East Carolina,2026,75,Fr.,RIGHT,RIGHT,Glen Burnie,MD,Archbishop Spalding
34898,Braden Watson,UC Santa Barbara,2026,75,Fr.,RIGHT,RIGHT,Peoria,AZ,Liberty High School
34901,Nick Brauhn,St. Thomas (MN),2026,71,Fr.,RIGHT,RIGHT,Sussex,WI,Hamilton High School
34907,Salvy Alvarez,Stetson,2026,69,Jr.,RIGHT,RIGHT,Miami,FL,Montverde Academy
34908,Jack Thunberg,The Citadel,2026,78,Sr.,LEFT,LEFT,New Albany,OH,Florence Darlington CC
34912,Kaden Allred,Utah Tech,2026,71,Fr.,RIGHT,RIGHT,Riverton,UT,Riverton HS
34913,Devin Miller,Cal State Fullerton,2026,76,Fr.,RIGHT,RIGHT,Aledo,TX,Aledo High School
34917,Ethan Clauss,LSU,2026,,Fr.,LEFT,RIGHT,,,
34925,Taylor Waldron,Jacksonville State,2026,74,Jr.,RIGHT,RIGHT,Ottawa,IL,Marquette Academy
34928,Alessandro Villegas,Florida A&M,2026,68,Jr.,LEFT,RIGHT,Richmond,TX,Miami Beach Senior High School
34929,Tre Brown,Southeastern Louisiana,2026,,Fr.,RIGHT,RIGHT,New Orleans,LA,Edna Karr HS
34930,Casey Bright,Evansville,2026,74,Fr.,LEFT,LEFT,Barbourville,KY,Knox Central High School
34936,Fuller Musgrove,South Alabama,2026,73,Fr.,RIGHT,RIGHT,Chunchula,AL,Mary G Montgomery High School
34937,Brock Cross,Washington State,2026,74,Fr.,RIGHT,RIGHT,Lake Havasu City,AZ,Lake Havasu High School
34948,Gary Ahrens,VMI,2026,74,Fr.,LEFT,LEFT,Great Falls,VA,Langley High School
34949,Daniel Camou,Cal Poly,2026,71,Fr.,RIGHT,RIGHT,San Dimas,CA,South Hills High School
34951,Eddie Rogers,UNC Greensboro,2026,73,So.,RIGHT,RIGHT,Catskill,NY,Catskill
