player_id,name,pos,class_year,div,from_school,summer_team,status,san_diego_school,ca_school,ca_summer_league
3405,TYLER CRUDO,,,II,Sonoma State University,,ENTERED,,Y,
3406,HUDSON LA BARBERA POIRIER,,,II,Sonoma State University,,ENTERED,,Y,
3407,KOBE MT ROLLING,,,II,Sonoma State University,,ENTERED,,Y,
3408,SHANE CALLISON,,,II,Sonoma State University,,ENTERED,,Y,
3580,GABRIEL SPRINGER,INF,Grad Transfer,I,Stanford University,Northwoods - Kalamazoo,ENTERED,,Y,
3581,CUAUHTEMOC BECERRA,INF,Grad Transfer,I,Stanford University,,ENTERED,,Y,
3582,CHARLES SAUM,C,Grad Transfer,I,Stanford University,,ENTERED,,Y,
3583,DOMINIC PANELLA,RHP,Freshman,I,Stanford University,,ENTERED,,Y,
3584,DAVID BLAIR,OF,Grad Transfer,I,Stanford University,,ENTERED,,Y,
3585,SAMUEL PETROCELLI,RHP,Freshman,I,Stanford University,,ENTERED,,Y,
3586,JOSEPH VOLCHKO,,,I,Stanford University,,ENTERED,,Y,
3587,MATTHEW SCOTT,OF,,I,Stanford University,,ENTERED,,Y,
3588,TY UBER,RHP,Grad Transfer,I,Stanford University,,ENTERED,,Y,
3589,SABORN CAMPBELL,OF,Grad Transfer,I,Stanford University,,ENTERED,,Y,
3590,NATHAN STIVESON,,,I,Stanford University,,ENTERED,,Y,
3786,ANTHONY SCHEPPLER,INF,Freshman,I,The Ohio State University,CCL - Sonoma Stompers,ENTERED,,,Y
3923,ANTHONY COBB,,,II,Tusculum,,ENTERED,,Y,
3924,JACK LYNDRUP,,,II,Tusculum,,ENTERED,,Y,
3925,CALEB MULCAHY,,,II,Tusculum,,ENTERED,,Y,
3926,SETH SHERMAN-LOUIS,,,II,Tusculum,,ENTERED,,Y,
3927,JACOB   MT KENT,,Grad Transfer,II,Tusculum University,,ENTERED,,Y,
3928,GARRETT GREGORY,,Grad Transfer,II,Tusculum University,,ENTERED,,Y,
3929,PHILIP MILLER,P,,II,Tusculum University,,ENTERED,,Y,
3930,TYLER TAMARGO,,,II,Tusculum University,,ENTERED,,Y,
3931,MASON HUFFSTICKLER,P,,II,Tusculum University,,ENTERED,,Y,
3932,SCOUT MARTIN,P,,II,Tusculum University,,ENTERED,,Y,
3933,SAWYER PACE,,,II,Tusculum University,,ENTERED,,Y,
3934,DEREK FARLEY,,,II,Tusculum University,,ENTERED,,Y,
3935,CALEB WEBSTER,,,II,Tusculum University,,ENTERED,,Y,
5885,JOHNATHAN WALLACE,,,II,Tusculum University,,ENTERED,,Y,
2929,DYLAN GREEN,,,I,"University of California, Berkeley",,ENTERED,,Y,
2930,ROMAN TRINIDAD,,,I,"University of California, Berkeley",,ENTERED,,Y,
4047,JARREN ADVINCULA,INF,,I,"University of California, Berkeley",,ENTERED,,Y,
4048,LOGAN PIPER,LHP,Grad Transfer,I,"University of California, Berkeley",,ENTERED,,Y,
4049,PETER MOUTZOURIDIS,INF,Sophomore,I,"University of California, Berkeley",,ENTERED,,Y,
4050,NICHOLAS BUTTON,C,Grad Transfer,I,"University of California, Berkeley",,ENTERED,,Y,
4051,LUIGI SMALDINO,1B/OF,Sophomore,I,"University of California, Berkeley",,ENTERED,,Y,
4052,MATTHEW THOMAS,,,I,"University of California, Berkeley",,ENTERED,,Y,
4053,ELIJAH CLAYTON,,,I,"University of California, Berkeley",,ENTERED,,Y,
4054,RYAN LIMERICK,,,I,"University of California, Berkeley",,ENTERED,,Y,
4055,RYAN TAYMAN,C,Sophomore,I,"University of California, Berkeley",NWL - Wilmar Stingers,ENTERED,,Y,
4056,KADEN TAQUE,RHP,,I,"University of California, Berkeley",,ENTERED,,Y,
4057,JAKE LAVIN,,,I,"University of California, Berkeley",,ENTERED,,Y,
4058,LUCAS ALANIZ,P,Grad Transfer,I,"University of California, Berkeley",,ENTERED,,Y,
4059,JACOB GUARDIANCIC,P,Grad Transfer,I,"University of California, Berkeley",,ENTERED,,Y,
4060,JOESPH DONNELLY,UTL,Grad Transfer,I,"University of California, Berkeley",,ENTERED,,Y,
4061,MAX MURRAY,,,I,"University of California, Berkeley",,ENTERED,,Y,
2931,TRAVIS MAXWELL,P,,I,"University of California, Davis",,ENTERED,,Y,
4062,HOLDEN HIRSCHKORN,,,I,"University of California, Davis",,ENTERED,,Y,
4063,LEIGHTON HELFRICK,1B/OF,Grad Transfer,I,"University of California, Davis",,ENTERED,,Y,
4064,ZACHARY ROMERO,,,I,"University of California, Davis",,ENTERED,,Y,
4065,ETHAN FELIX,1B/DH,Grad Transfer,I,"University of California, Davis",,ENTERED,,Y,
4066,HUDSON COMER,OF,Freshman,I,"University of California, Irvine",,ENTERED,,Y,
4067,MATTHEW KRAUSE,RHP,,I,"University of California, Irvine",,ENTERED,,Y,
4068,RYAN HAM,,,I,"University of California, Irvine",,ENTERED,,Y,
4069,TOUSSAINT BYTHEWOOD,OF,Sophomore,I,"University of California, Los Angeles",,ENTERED,,Y,
4070,LOGAN DE GROOT,OF,Freshman,I,"University of California, Los Angeles",,ENTERED,,Y,
4071,REX SOLLE,,,I,"University of California, Los Angeles",,ENTERED,,Y,
4072,JESSE RODRIGUEZ,,,I,"University of California, Los Angeles",,ENTERED,,Y,
4073,JUSTIN CUELLAR,LHP,Freshman,I,"University of California, Los Angeles",,ENTERED,,Y,
4074,DAMON VILLA,,Grad Transfer,I,"University of California, Los Angeles",,ENTERED,,Y,
4075,CAMERON KIM,INF,Freshman,I,"University of California, Los Angeles",,ENTERED,,Y,
2932,ETHAN BERGAN,,,I,"University of California, Riverside",,ENTERED,,Y,
4076,FAREED AHMED,LHP,Sophomore,I,"University of California, Riverside",,ENTERED,,Y,
4077,CHRIS LOZANO,LHP,Grad Transfer,I,"University of California, Riverside",,ENTERED,,Y,
4078,KURT MARTON,P,,I,"University of California, Riverside",,ENTERED,,Y,
4079,ANDREW RIVAS,,Grad Transfer,I,"University of California, Riverside",,ENTERED,,Y,
4080,MATTHEW MT FLORES,RHP,Sophomore,I,"University of California, Riverside",,ENTERED,,Y,
4081,CHARLES DOHEMANN,,,I,"University of California, Riverside",,ENTERED,,Y,
4082,DAMIAN HERNANDEZ,,,I,"University of California, Riverside",,ENTERED,,Y,
4083,LANDON NUNES,,,I,"University of California, Riverside",,ENTERED,,Y,
4084,TYSON REIS,,,I,"University of California, Riverside",,ENTERED,,Y,
4085,MICHAEL WEBER,,,I,"University of California, Riverside",,ENTERED,,Y,
4086,JAMES   MT APPLEFORD,,Grad Transfer,I,"University of California, Riverside",,ENTERED,,Y,
4087,KEVIN FEDORUK,,Grad Transfer,I,"University of California, Riverside",,ENTERED,,Y,
4088,DIEGO BOARDMAN,INF,,I,"University of California, Riverside",,ENTERED,,Y,
2933,SKYLER CHANG,,,I,"University of California, Santa Barbara",,ENTERED,,Y,
2934,COLE IDE,,,I,"University of California, Santa Barbara",,ENTERED,,Y,
4094,CASEY EUPER,LHP,Freshman,I,"University of California, Santa Barbara",,ENTERED,,Y,
4095,NOLAN MT FARLEY,INF,Sophomore,I,"University of California, Santa Barbara",,ENTERED,,Y,
4096,REISS CALVIN,OF,Senior?,I,"University of California, Santa Barbara",,ENTERED,,Y,
4097,JACK   MT CLOTHIER,OF,Grad Transfer,I,"University of California, Santa Barbara",,ENTERED,,Y,
4098,HUDSON BARRETT,LHP,Junior,I,"University of California, Santa Barbara",,ENTERED,,Y,
4099,JACK MEISSNER,1B/OF,Freshman,I,"University of California, Santa Barbara",Cowlitz Bears,ENTERED,,Y,
4100,MASEN SWAN,LHP,Freshman,I,"University of California, Santa Barbara",,ENTERED,,Y,
4101,PETER STORJOHANN,,,I,"University of California, Santa Barbara",,ENTERED,,Y,
4102,JAMES MT ZAKHAR,C,Junior,I,"University of California, Santa Barbara",,ENTERED,,Y,
4103,PAUL WHEELER,LHP,Freshman,I,"University of California, Santa Barbara",,ENTERED,,Y,
4104,CARSON TIMOTHY,,,I,"University of California, Santa Barbara",,ENTERED,,Y,
4105,ELLIOT GALLEGOS,RHP,Grad Transfer,I,"University of California, Santa Barbara",,ENTERED,,Y,
4390,NOLAN ANGUIANO,,Grad Transfer,III,University of La Verne,,ENTERED,,Y,
4817,RYLAN MORRIS,OF,Freshman,III,University of Redlands,,ENTERED,,Y,
4818,KYLER BACOSA,P,,III,University of Redlands,,ENTERED,,Y,
4819,TYLER   MT PREECE,INF,Grad Transfer,III,University of Redlands,,ENTERED,,Y,
4831,TYLER PRYSTAJKO,P,,I,University of San Francisco,,ENTERED,,Y,
4832,KODY   MT WATANABE,INF,Grad Transfer,I,University of San Francisco,,ENTERED,,Y,
4833,DYLAN BROWN,RHP,Grad Transfer,I,University of San Francisco,,ENTERED,,Y,
4834,TRENT CORNELL,,,I,University of San Francisco,,ENTERED,,Y,
4835,AUSTIN CUPIC,P,,I,University of San Francisco,,ENTERED,,Y,
4836,NICHOLAS GOMOZIAS,,,I,University of San Francisco,,ENTERED,,Y,
4837,GAVIN PACHECO,P,,I,University of San Francisco,,ENTERED,,Y,
4838,CHARLES-ETIENNE PELLETIER,,,I,University of San Francisco,,ENTERED,,Y,
4839,NICOLAI YOVANOVICH,,Grad Transfer,I,University of San Francisco,,ENTERED,,Y,
4840,MATTY   MT FUNG,,Grad Transfer,I,University of San Francisco,,ENTERED,,Y,
4841,TYVON MOORE,,Grad Transfer,I,University of San Francisco,,ENTERED,,Y,
4842,LOGAN SCHWEIZER,,Grad Transfer,I,University of San Francisco,,ENTERED,,Y,
4843,JACOB VERWIEL,LHP,Grad Transfer,I,University of San Francisco,,ENTERED,,Y,
5962,JOHN CLINKENBEARD,,,I,University of San Francisco,,ENTERED,,Y,
5963,KELLER RIVERS,,,I,University of San Francisco,,ENTERED,,Y,
4944,BRAYDEN DOWD,OF,Sophomore,I,University of Southern California,,ENTERED,,Y,
4945,DYLAN MT OSBORNE,OF/LHP,Sophomore,I,University of Southern California,,ENTERED,,Y,
4946,RYDER DYKSTRA,OF,Freshman,I,University of Southern California,,ENTERED,,Y,
4947,JUDE FAVELA,RHP,Freshman,I,University of Southern California,,ENTERED,,Y,
4948,JACKSON MT BAKER,,Sophomore,I,University of Southern California,,ENTERED,,Y,
4949,JOSH HANSON,INF,Freshman,I,University of Southern California,,ENTERED,,Y,
4950,RICHARD TEJEDA,,,I,University of Southern California,,ENTERED,,Y,
4951,ZACHARY   MT SCHWARTZBERG,,Grad Transfer,I,University of Southern California,,ENTERED,,Y,
4952,WILLIAM STICKNEY,INF,Freshman,I,University of Southern California,,ENTERED,,Y,
4953,MATTHEW PRIEST,,,I,University of Southern California,,ENTERED,,Y,
4954,JOHN ELLIOTT,C,Freshman,I,University of Southern California,,ENTERED,,Y,
4955,ADDIAN BOLES JR,,,I,University of Southern California,,ENTERED,,Y,
4956,WES HICKEY,,,I,University of Southern California,,ENTERED,,Y,
4957,ANTHONY PERRITANO,,,I,University of Southern California,,ENTERED,,Y,
4958,CADEN   MT AOKI,,Grad Transfer,I,University of Southern California,,ENTERED,,Y,
4959,DEAN CARPENTIER,,,I,University of Southern California,,ENTERED,,Y,
4960,TEE SOUTHISENE,P,,I,University of Southern California,,ENTERED,,Y,
5069,CADE OHARA,RHP,Sophomore,I,University of Texas at Austin,Slo Blues,ENTERED,,,Y
5088,HUNTER HARGETT,RHP,Grad Transfer,I,University of the Incarnate Word,CCL - Prune Packers,ENTERED,,,Y
5109,DRAKE BICKNELL,C,Grad Transfer,I,University of the Pacific,,ENTERED,,Y,
5110,DAVID ANDRUS,P,Grad Transfer,I,University of the Pacific,,ENTERED,,Y,
5111,EVAN MOLL,P,,I,University of the Pacific,,ENTERED,,Y,
5112,ANDRE VIDAL,,Grad Transfer,I,University of the Pacific,,ENTERED,,Y,
5113,ADRIAN VIDAL,,,I,University of the Pacific,,ENTERED,,Y,
5114,CADE SONOQUI,P,,I,University of the Pacific,,ENTERED,,Y,
5115,JACKSON LUX,P,,I,University of the Pacific,,ENTERED,,Y,
5116,KADEN PETERSEN,,,I,University of the Pacific,,ENTERED,,Y,
5117,PARK ROMNEY,,,I,University of the Pacific,,ENTERED,,Y,
5994,ADEN BOWMAN,P,,I,University of the Pacific,,ENTERED,,Y,
5995,CADEN CASAGRANDE,3B,,I,University of the Pacific,,ENTERED,,Y,
5996,MATTHEW TROUTNER,,,I,University of the Pacific,,ENTERED,,Y,
5997,OMAR VARGAS,,,I,University of the Pacific,,ENTERED,,Y,
5284,NOAH MADOLE,,,II,Vanguard University,,ENTERED,,Y,
5285,JOSHUA MT SCHLEICHARDT,,,II,Vanguard University,,ENTERED,,Y,
5286,LEVI HALL,,Grad Transfer,II,Vanguard University,,ENTERED,,Y,
454,BRYCE MCFEELY,OF,Grad Transfer,II,Westmont College,,ENTERED,,Y,
455,TREY DUNN,UTL,Grad Transfer,II,Westmont College,,ENTERED,,Y,
2837,RYAN HUMPHREYS,LHP,Grad Transfer,II,Westmont College,,ENTERED,,Y,
5521,SHANE HOFSTADLER,1B/OF,Grad Transfer,II,Westmont College,,ENTERED,,Y,
5522,MICHAEL SOPER,INF,Grad Transfer,II,Westmont College,,ENTERED,,Y,
5523,JACK   MT BOLLENGIER,OF,Grad Transfer,II,Westmont College,,ENTERED,,Y,
5524,DANIEL PATTERSON,INF,Grad Transfer,II,Westmont College,,ENTERED,,Y,
5525,TYLER MCEVOY,C,Sophomore,II,Westmont College,,ENTERED,,Y,
5526,BRYAN PECK,RHP,Grad Transfer,II,Westmont College,,ENTERED,,Y,
5527,STEPHEN DEAKINS,,,II,Westmont College,,ENTERED,,Y,
5528,EVAN OTTE,,,II,Westmont College,,ENTERED,,Y,
5529,ZACHARY YATES,RHP,Grad Transfer,II,Westmont College,,ENTERED,,Y,
5540,JOSEPH PLASKETT,OF,Junior,III,Whittier College,,ENTERED,,Y,
5541,MATTHEW MT MECATE,,,III,Whittier College,,ENTERED,,Y,
5542,PARKER EASTWOOD LILLES,,,III,Whittier College,,ENTERED,,Y,
5543,ROBERT FRUTO,,,III,Whittier College,,ENTERED,,Y,
5544,WILSON SPINKS,,,III,Whittier College,,ENTERED,,Y,
5545,SEVON BATTLE,,,III,Whittier College,,ENTERED,,Y,
