player_id,name,pos,class_year,div,from_school,summer_team,status,san_diego_school,ca_school,ca_summer_league
589,ROYCE CLAYTON JR,,,I,"California State University, Northridge",,ENTERED,,Y,
590,NICHOLAS SANTIVANEZ,P,,I,"California State University, Northridge",,ENTERED,,Y,
591,ANGEL MT CORTEZ,,,I,"California State University, Northridge",,ENTERED,,Y,
592,ELIJAH FAIRCHILD,,,I,"California State University, Northridge",,ENTERED,,Y,
593,HAYDEN HALL,P,,I,"California State University, Northridge",,ENTERED,,Y,
594,BRENDEN WILKINSON,,,I,"California State University, Northridge",,ENTERED,,Y,
595,ANDREW GAUNA,OF,,I,"California State University, Northridge",,ENTERED,,Y,
596,DIEGO GUTIERREZ,RHP,Grad Transfer,I,"California State University, Northridge",,ENTERED,,Y,
597,ANDREW OVERLAND,RHP,Sophomore,I,"California State University, Sacramento",,ENTERED,,Y,
598,MYLES WALTON,,,I,"California State University, Sacramento",,ENTERED,,Y,
599,LUKE OYLER,,,I,"California State University, Sacramento",,ENTERED,,Y,
600,TROY OSBORNE,UTL,Freshman,I,"California State University, Sacramento",,ENTERED,,Y,
601,TANNER KERN,,,I,"California State University, Sacramento",,ENTERED,,Y,
602,CHRISTIAN MT PEREZ,,,I,"California State University, Sacramento",,ENTERED,,Y,
603,DYLAN TORRES,P,,I,"California State University, Sacramento",,ENTERED,,Y,
604,ELIYAHU KLIGMAN,C,Junior,I,"California State University, Sacramento",,ENTERED,,Y,
2858,ASHER CLARK,,,I,"California State University, Sacramento",,ENTERED,,Y,
2859,"ERVIN DORSETT, III",,,I,"California State University, Sacramento",,ENTERED,,Y,
605,RILEY RICKEN,P,,II,"California State University, San Bernardino",,ENTERED,,Y,
606,MATTHEW ROMERO,P,,II,"California State University, San Bernardino",,ENTERED,,Y,
607,KEEDAN NADEAU,,,II,"California State University, San Bernardino",,ENTERED,,Y,
620,JACKSON BROOKS,OF,Sophomore,II,"California State University, Stanislaus",,ENTERED,,Y,
621,JOSHUA OCHOA,,Grad Transfer,II,"California State University, Stanislaus",,ENTERED,,Y,
700,HENRY CHABOT,RHP,Grad Transfer,III,Chapman University,,ENTERED,,Y,
742,KODY   MT PERRY,,Grad Transfer,III,Claremont McKenna-Harvey Mudd-Scripps Colleges,,ENTERED,,Y,
743,PAUL WENDLER,,Grad Transfer,III,Claremont McKenna-Harvey Mudd-Scripps Colleges,,ENTERED,,Y,
5616,WESLEY WELLS,,,III,Claremont McKenna-Harvey Mudd-Scripps Colleges,,ENTERED,,Y,
5624,JASON RHODENBAUGH,P,,II,Concordia University Irvine,,ENTERED,,Y,
1290,EVAN FANCONI,u,,II,Fresno Pacific University,,ENTERED,,Y,
1291,CADE STUART,RHP,Junior,II,Fresno Pacific University,,ENTERED,,Y,
1292,AUSTIN MT WATSON,,,II,Fresno Pacific University,,ENTERED,,Y,
1293,ISAIAH GASTELUM,,,II,Fresno Pacific University,,ENTERED,,Y,
1920,ALBERT MT ROBLEZ,RHP,Senior?,I,Long Beach State University,,ENTERED,,Y,
1921,ARMANDO BRISENO,,,I,Long Beach State University,,ENTERED,,Y,
1922,OWEN GEISS,RHP,,I,Long Beach State University,,ENTERED,,Y,
1923,AUSTIN MT PUETT,,,I,Long Beach State University,,ENTERED,,Y,
1924,KELLAN MONTGOMERY,RHP,Junior,I,Long Beach State University,,ENTERED,,Y,
1925,JOSHUA DONEGAN,P,,I,Long Beach State University,,ENTERED,,Y,
1926,DYLAN MT JACKSON,,,I,Long Beach State University,,ENTERED,,Y,
1927,EFREN ORTEGA,,,I,Long Beach State University,,ENTERED,,Y,
1928,ZECHARIAH SAMAYOA,,,I,Long Beach State University,,ENTERED,,Y,
1973,MAXWELL SENESAC,C,,I,Loyola Marymount University,WCL - Yakima Valley,ENTERED,,Y,
1974,NATE SAVOIE,,,I,Loyola Marymount University,,ENTERED,,Y,
1975,JAMES BOSE,INF,Junior,I,Loyola Marymount University,,ENTERED,,Y,
1976,GABRIEL   MT MAYA,LHP,Grad Transfer,I,Loyola Marymount University,,ENTERED,,Y,
1977,SAMUEL   MT BRADY,LHP,Grad Transfer,I,Loyola Marymount University,,ENTERED,,Y,
1978,LUCA MT DANOS,,,I,Loyola Marymount University,,ENTERED,,Y,
1979,COLIN CAYCEDO,,,I,Loyola Marymount University,,ENTERED,,Y,
1980,LUKE SKINNER,,,I,Loyola Marymount University,,ENTERED,,Y,
1981,WILLIE CORNEJO-FARMER,,,I,Loyola Marymount University,,ENTERED,,Y,
1982,FERNANDO SANCHEZ GONZALEZ,,,I,Loyola Marymount University,,ENTERED,,Y,
1983,ASHTEN WONG,,,I,Loyola Marymount University,,ENTERED,,Y,
1984,RYAN MULLAN,RHP,Grad Transfer,I,Loyola Marymount University,,ENTERED,,Y,
2106,JUSTIN FLANNERY,OF,Grad Transfer,II,Menlo College,,ENTERED,,Y,
2107,WESLEY PAYNE,P,,II,Menlo College,,ENTERED,,Y,
2108,LANDON ROWLAND,P,,II,Menlo College,,ENTERED,,Y,
2109,RAMONE VALENZUELA,INF,,II,Menlo College,,ENTERED,,Y,
2110,ANTHONY TELLEZ,RHP,Grad Transfer,II,Menlo College,,ENTERED,,Y,
2111,MATTHEW ZARRIELLO,,,II,Menlo College,,ENTERED,,Y,
2112,CHASE BARSOTTI,P,Grad Transfer,II,Menlo College,,ENTERED,,Y,
2113,KEENAN SHAW,,Grad Transfer,II,Menlo College,,ENTERED,,Y,
2114,JAYSHAUN WISE,,,II,Menlo College,,ENTERED,,Y,
2115,BRADLEY MORRIS,,,II,Menlo College,,ENTERED,,Y,
2729,ADAM TROY,RHP,,I,Pepperdine University,,ENTERED,,Y,
2730,SAMUEL   MT SCAVONE,,Grad Transfer,I,Pepperdine University,,ENTERED,,Y,
2731,NATHAN TICHY,RHP,,I,Pepperdine University,,ENTERED,,Y,
2732,WYATT NICHOL,P,,I,Pepperdine University,,ENTERED,,Y,
2733,ESTEBAN SEPULVEDA,,,I,Pepperdine University,,ENTERED,,Y,
2734,JOSEPH DAMELIO,,,I,Pepperdine University,,ENTERED,,Y,
2735,RAMON MT JIMERSON,,,I,Pepperdine University,,ENTERED,,Y,
2736,MICHAEL LIYEOS,,,I,Pepperdine University,,ENTERED,,Y,
2737,CADE BARRY,P,,I,Pepperdine University,,ENTERED,,Y,
