fit,player,role,position,division,from_school,to_school,class_year,eligibility_remaining,height_in,weight_lb,status,ca_tie,sd_tie,socal_tie,hometown_city,hometown_state,high_school,ca_tie_reasons,hit,power,need,perf_pct,level_factor,likelihood,team,pa,ba,obp,slg,xwoba,xslg,avg_ev,decision_value,hr,ip,fip,k_bb,perceived_value,t2_stuff,inzone_whiff_pct,xwhiff_pct,priority,contact,scout_notes
67.5,Aidan Lenzen,pitcher,P,I,Florida International,,SR,1,,,ENTERED,0,0,0,,,,,,,Weekend starter,0.717,0.8,16.5,Florida Tech,,,,,,,,,,71.1,3.58,2.33,0.321,,,,,,
67.4,Matt Conte,hitter,C,,Wake Forest,,SO,2,74.0,210.0,ENTERED,0,0,0,Andover,MA,Dexter Southfield,,54.9,60.1,,0.729,0.7,16.1,Wake Forest,,0.275,,,0.394,,88.5,,,,,,,,,,,,
67.4,Bryce Hubbard,hitter,DH,,Oregon State,,SR,1,72.0,228.0,ENTERED,0,0,0,Norcross,GA,Wesleyan,,50.4,51.0,,0.693,0.7,17.2,Oregon State,,0.254,,,0.379,,89.0,,,7.1,7.81,0.75,99.0,70.0,,,,,
67.3,Will Whelan,pitcher,P,,Minnesota,,JR,1,74.0,200.0,ENTERED,0,0,0,Blaine,MN,Centennial,,,,Weekend starter,0.726,1.0,16.2,Minnesota,,,,,,,,,,40.0,4.68,1.7,109.2,111.2,,,,,
67.3,Trip Brown,pitcher,P,,The Citadel,,JR,1,74.0,200.0,ENTERED,0,0,0,Charleston,SC,,,,,Weekend starter,0.843,0.7,14.0,The Citadel,,,,,,,,,,,,,107.5,107.3,,,,,
67.3,Andrew Jones,pitcher,RF,I,Eastern Michigan,,SR,1,72.0,190.0,ENTERED,0,0,0,Midlothian,VA,Midlothian,,,,,0.761,1.0,18.4,VMI,,,,,,,,,,46.2,4.91,1.68,103.8,103.3,,,,,
67.3,Drew DeLucia,pitcher,P,,Austin Peay,,SR,1,73.0,225.0,ENTERED,0,0,0,Medway,MA,Catholic Memorial HS,,,,Weekend starter,0.75,0.8,17.4,Austin Peay,,,,,,,,,,94.2,3.51,3.32,94.3,96.5,,,,,
67.2,Colton Bower,hitter,DH,,Washington,,JR,1,72.0,210.0,ENTERED,0,0,0,Poulsbo,WA,North Kitsap,,52.2,61.9,,0.867,0.7,12.0,Washington,,0.319,,,0.376,,93.1,,,,,,,,,,,,
66.9,GARRET PLATA,pitcher,P,I,Pacific,,JR,1,72.0,215.0,ENTERED,1,0,0,San Jose,CA,King's Academy,hometown=CA,,,Weekend starter,0.76,1.0,25.2,Pacific,,,,,,,,,,76.0,,1.67,102.8,103.5,,,0.0,,
66.9,Carson Lane,pitcher,P,,UNLV,,JR,1,75.0,212.0,ENTERED,1,0,1,Huntington Beach,CA,Huntington Beach,hometown=CA;hometown=Huntington Beach (SoCal),,,Weekend starter,0.744,1.0,33.7,UNLV,,,,,,,,,,78.2,3.85,2.24,104.3,98.7,,,,,
66.8,Caleb Koskie,hitter,LF,,Indiana,,SO,2,72.0,195.0,ENTERED,0,0,0,Excelsior,MN,Benilde-St. Maragaret's,,66.3,57.9,,0.748,0.7,15.6,Indiana,,0.362,,,0.4,,90.3,,,3.1,10.68,0.75,96.0,90.0,,,,,
66.8,Evan Stratton,pitcher,P,I,Creighton,,JR,1,75.0,230.0,ENTERED,1,0,1,Redlands,CA,Redlands High School,hometown=CA;hometown=Redlands (SoCal),,,Weekend starter,0.751,0.72,33.5,Creighton,,,,,,,,,,48.0,3.09,2.0,91.4,93.6,,,,,
66.8,Bryson Goff,pitcher,P,I,New Orleans,,JR,1,76.0,205.0,ENTERED,0,0,0,Saraland,AL,Saraland,,,,Weekend starter,0.781,1.0,17.8,New Orleans,,,,,,,,,,,,,99.6,105.6,,,,,
66.7,Ryan King,pitcher,P,,CSU Bakersfield,,SO,2,69.0,181.0,ENTERED,1,0,0,Bernardsville,NJ,St. Peter's Prep,prev_school=CA,,,Weekend starter,0.74,1.0,25.8,Rhode Island,,0.361,,,0.385,,85.5,,,69.2,4.07,2.48,97.6,93.2,,,,,
66.7,Mario Trivella,hitter,SS,,Florida International,,JR,1,71.0,180.0,ENTERED,0,0,0,Parrish,FL,Sarasota High School,,55.4,68.5,Everyday SS,0.729,0.7,16.1,Florida International,,0.295,,,0.428,,92.5,,,,,,,,,,,,
66.6,ASHTON LARSON,hitter,DH,I,Texas,,JR,1,73.0,210.0,ENTERED,0,0,0,Overland Park,KS,St. Thomas Aquinas,,57.7,46.9,,0.673,1.0,17.8,LSU,,0.317,,,0.387,,87.8,,,,,,,,,,3.0,,
66.6,Jaden Noot,pitcher,P,I,LSU,,JR,1,76.0,244.0,ENTERED,1,0,0,Oak Park,CA,Sierra Canyon HS,hometown=CA,,,Weekend starter,0.874,1.0,21.8,LSU,,,,,,,,,,30.1,2.82,3.15,97.7,97.4,,,,,
66.6,Sean Carey,pitcher,P,,Sacramento State,,JR,1,74.0,180.0,ENTERED,1,0,0,Folsom,CA,Folsom HS,hometown=CA;prev_school=CA,,,Weekend starter,0.701,0.7,27.0,Sacramento State,,,,,,,,,,22.1,5.24,0.83,117.4,97.7,,,,,
66.5,Colton Coates,hitter,2B,,Louisiana Tech,,JR,1,72.0,195.0,ENTERED,0,0,0,Southaven,MS,Desoto Central,,63.4,56.5,,0.725,0.7,16.2,Louisiana Tech,,0.33,,,0.421,,89.0,,,,,,,,,,,,
66.5,KYLE MANSHIP,pitcher,P,II,Illinois State,,JR,1,74.0,180.0,ENTERED,0,0,0,Fishers,IN,Fishers,,,,Weekend starter,0.739,0.8,15.8,Illinois State,,,,,,,,,,55.0,3.54,1.94,131.0,131.0,,,0.0,,
66.5,Sean Finn,pitcher,P,I,Connecticut,,JR,1,69.0,189.0,ENTERED,0,0,0,Warrington,PA,Springside Chestnut Hill,,,,Weekend starter,0.902,1.0,10.9,Connecticut,,,,,,,,,,33.0,2.63,3.06,103.8,114.3,,,,,
66.4,Ty Brooks,pitcher,3B,I,South Alabama,,JR,1,72.0,,ENTERED,0,0,0,Milford,IN,Wawasee,,,,,0.702,1.0,16.9,South Alabama,,0.244,,,0.34,,85.8,,,76.1,,1.62,102.3,100.7,,,,,
66.3,Raul Valdivia,pitcher,P,I,Sacramento State,,JR,1,74.0,220.0,ENTERED,1,0,0,Santa Rosa,CA,,hometown=CA;prev_school=CA,,,Weekend starter,0.694,0.72,27.2,Santa Rosa (JC),,,,,,,,,,48.0,2.7,2.54,0.365,82.1158331,,,,,
66.3,Scott Newman,hitter,CF,,Georgia,,JR,1,75.0,171.0,ENTERED,0,0,0,Glenview,IL,Glenbrook South HS,,50.8,59.2,,0.648,0.7,18.6,USC Upstate,,0.291,,,0.354,,85.8,,,,,,,,,,,,
66.2,ZACHARY TODD,pitcher,P,II,Pacific,,JR,1,75.0,250.0,ENTERED,1,0,0,Manteca,CA,Manteca HS,hometown=CA,,,Weekend starter,0.741,0.8,25.8,Pacific,,,,,,,,,,13.1,5.35,1.19,105.6,101.8,,,0.0,,"Kevin Karstetter 7/1/25: really unique slider/cutter, solid arsenal overall and the command #'s are fine I think he needs to throw more first pitch mainly"
66.1,Diego Castellanos,hitter,RF,,Saint Mary's (CA),,JR,1,73.0,,ENTERED,1,0,0,Morgan Hill,CA,Live Oak HS,hometown=CA,66.3,54.8,,0.739,0.7,25.8,Saint Mary's (CA),,0.385,,,0.388,,89.5,,,,,,,,,,,,
66.0,JB LANDRUM,pitcher,P,III,New Orleans,,JR,1,72.0,205.0,ENTERED,0,0,0,Jasper,AL,,,,,Weekend starter,0.76,0.58,18.4,Huntingdon College,,,,,,,,,,76.0,3.64,2.48,0.318,,,,,,
66.0,Cole Clark,pitcher,INF,I,UC Irvine,,FR,3,70.0,175.0,ENTERED,1,0,1,Burbank,CA,Notre Dame HS,hometown=CA;hometown=Burbank (SoCal);prev_school=CA,,,,0.965,1.0,27.0,California,,,,,,,,,,25.2,5.63,1.92,112.7,118.0,,,,,
66.0,Tracen Cameron,pitcher,P,,Florida International,,SO,2,71.0,190.0,ENTERED,0,0,0,Vero Beach,FL,John Carroll Catholic,,,,Weekend starter,0.827,0.7,13.2,Florida International,,0.163,,,0.312,,88.1,,,35.2,6.29,1.85,100.9,108.1,,,,,
66.0,Jacob Imoto,pitcher,P,I,Arkansas,,SO,2,,,ENTERED,0,0,0,,,,,,,Weekend starter,0.674,0.72,17.8,Palomar (JC),,,,,,,,,,44.0,3.13,2.89,0.3435,,0.0,,,,
65.6,Douglas Crystal,pitcher,P,I,Fresno State,,JR,1,73.0,,ENTERED,1,0,1,Huntington Beach,CA,Ocean View High School,hometown=CA;hometown=Huntington Beach (SoCal);prev_school=CA,,,Weekend starter,0.859,0.72,30.2,Fresno State,,,,,,,,,,33.1,2.61,2.73,99.1,103.3,,,,,
65.6,Landon Stump,pitcher,P,,UCLA,,JR,1,75.0,212.0,ENTERED,1,0,0,Morgan Hill,CA,Live Oak HS,hometown=CA;prev_school=CA,,,Weekend starter,0.681,0.7,27.6,UCLA,,,,,,,,,,66.1,5.26,1.68,98.5,100.1,,,,,
65.6,Myles Dismute,pitcher,P,,Southern,,JR,1,,,ENTERED,0,0,0,,,,,,,Weekend starter,0.785,0.72,22.1,Long Beach (JC),,,,,,,,,,66.1,2.53,3.5,0.3735,108.4594399,0.151,,,,
65.5,Tyson Potts,pitcher,P,,Central Michigan,,SR,1,74.0,205.0,ENTERED,0,0,0,Prescott,AZ,Prescott / Wayland Baptist,,,,Weekend starter,0.713,0.66,19.8,Central Michigan,,,,,,,,,,70.1,3.9,2.97,103.7,93.0,,,,,
65.5,Preston Newberry,hitter,RF,,Incarnate Word,,JR,1,70.0,180.0,ENTERED,0,0,0,Tyler,TX,Tyler Legacy High School,,57.9,57.8,,0.747,0.7,18.8,Incarnate Word,,0.329,,,0.368,,90.6,,,,,,,,,,,,
65.4,Connor Mohan,pitcher,P,,Texas Tech,,SO,2,75.0,191.0,ENTERED,0,0,0,Burleson,TX,Burleson,,,,Weekend starter,0.69,0.7,17.3,Texas Tech,,,,,,,,,,30.2,7.51,0.94,105.2,99.0,,,,,
65.4,Randy Guzman,pitcher,P,I,Winthrop,,JR,1,72.0,185.0,ENTERED,0,0,0,Cranston,RI,,,,,Weekend starter,0.733,1.0,17.9,Winthrop,,,,,,,,,,26.0,6.14,1.38,100.3,102.6,,,,,
65.4,Douglas Bauer,pitcher,P,I,Ohio State,,JR,1,75.0,215.0,ENTERED,0,0,0,Houston,TX,,,,,Weekend starter,0.723,1.0,16.3,Ohio State,,,,,,,,,,35.0,4.72,1.67,99.0,102.4,,,,,
