Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
Saint Peter's,Chase Fogg,All,130,16,86.3,99.8,103.8,31.2%,16.6°,14.1°,50.0,6.2%,1,0.316,.331,0.437,.483,31.2%,31.2%,37.5%,33.8%,75.0%,87.9%,12.8%,22.7%,162.0
Texas A&M,Chris Hacopian,All,688,132,90.6,105.8,114.4,43.9%,11.0°,3.7°,35.6,10.6%,14,0.322,.316,0.437,.438,40.2%,32.6%,22.7%,36.9%,58.6%,92.6%,18.0%,14.2%,100.0
Central Michigan,Logan Keilen,All,445,79,86.9,106.8,110.8,44.3%,12.0°,14.6°,41.8,15.2%,12,0.324,.312,0.437,.464,34.2%,27.8%,31.6%,37.3%,64.3%,86.6%,18.1%,20.5%,124.0
Manhattan,Andreaus Lewis,All,62,15,87.6,98.2,98.3,33.3%,25.0°,20.5°,40.0,6.7%,1,0.353,.297,0.436,.374,26.7%,53.3%,20.0%,41.9%,75.0%,100.0%,14.7%,3.8%,162.0
Mount St. Mary's,Bryce Rudisill,All,272,55,87.1,101.4,106.6,30.9%,18.8°,12.2°,30.9,3.6%,2,0.306,.273,0.436,.385,38.2%,38.2%,21.8%,46.0%,76.5%,92.0%,23.6%,16.8%,135.0
Purdue,Sam Flores,All,850,160,89.5,104.0,108.0,40.0%,15.9°,16.3°,40.0,6.2%,10,0.328,.316,0.436,.423,34.4%,27.5%,31.9%,41.6%,62.1%,88.5%,24.2%,19.5%,102.0
UNLV,Marcos Rosales,All,757,144,88.4,101.9,106.4,47.2%,13.6°,16.1°,36.8,4.2%,6,0.314,.297,0.436,.417,36.8%,32.6%,28.5%,42.8%,72.5%,88.4%,21.1%,19.4%,130.0
Oklahoma State,Aidan Meola,All,818,122,90.7,105.9,109.6,43.4%,18.7°,19.9°,38.5,17.2%,21,0.308,.264,0.436,.396,33.6%,32.8%,23.8%,46.6%,63.4%,77.5%,34.4%,33.6%,64.0
Wagner,Diego Tavarez,All,296,39,82.5,94.7,99.0,17.9%,16.8°,3.0°,35.9,0.0%,0,0.358,.232,0.436,.345,35.9%,33.3%,28.2%,36.5%,65.9%,88.8%,11.8%,16.7%,113.0
Brown,Mika Petersen,All,555,109,86.2,103.7,109.9,36.7%,4.7°,10.8°,32.1,8.3%,9,0.351,.302,0.436,.419,52.3%,18.3%,22.9%,44.7%,65.9%,91.5%,31.4%,18.5%,81.0
Akron,Easton Amundson,All,436,56,93.4,109.5,112.2,55.4%,22.0°,24.0°,57.1,26.8%,15,0.247,.336,0.436,.517,19.6%,39.3%,37.5%,48.6%,78.6%,68.4%,23.0%,34.9%,115.0
Towson,Brady Nathison,All,405,72,87.8,99.9,102.9,30.6%,16.9°,17.5°,34.7,5.6%,4,0.337,.259,0.436,.402,29.2%,31.9%,29.2%,38.5%,61.9%,85.7%,19.6%,16.7%,110.0
Toledo,Charlie Scholvin,All,672,141,86.7,101.2,105.0,33.3%,10.2°,11.4°,41.1,2.8%,4,0.368,.319,0.436,.405,42.6%,25.5%,29.8%,40.5%,63.3%,94.1%,25.4%,14.3%,106.0
San Diego,Andrew Gauna,All,773,141,89.7,104.0,108.8,44.0%,11.5°,10.3°,34.8,8.5%,12,0.355,.317,0.436,.417,43.3%,29.1%,24.8%,43.9%,68.0%,87.7%,25.5%,19.2%,89.0
Tennessee,Garrett Wright,All,693,136,87.5,103.6,107.4,42.6%,15.9°,15.2°,43.4,6.6%,9,0.345,.313,0.436,.420,38.2%,27.9%,30.1%,50.6%,69.5%,89.0%,34.9%,19.1%,64.0
Alabama State,Trey Callaway,All,450,62,91.7,105.7,109.1,46.8%,19.7°,22.1°,41.9,16.1%,10,0.278,.250,0.436,.418,29.0%,37.1%,22.6%,43.8%,68.3%,69.3%,26.5%,41.1%,88.0
TCU,Jack Bell,All,807,105,92.7,103.9,109.3,49.5%,11.8°,14.7°,44.8,6.7%,7,0.304,.296,0.435,.449,33.3%,23.8%,38.1%,36.8%,57.4%,81.7%,19.3%,29.3%,113.0
Auburn,Ethin Bingaman,All,851,152,93.8,108.1,114.8,59.2%,3.7°,2.3°,35.5,9.2%,14,0.331,.364,0.435,.473,52.0%,17.1%,26.3%,43.2%,63.8%,90.5%,23.9%,13.6%,97.0
East Carolina,Davin Whitaker,All,793,134,89.2,103.2,107.1,35.8%,14.2°,13.0°,36.6,6.7%,9,0.337,.276,0.435,.384,37.3%,29.9%,25.4%,50.7%,76.9%,83.1%,31.2%,27.6%,80.0
Air Force,Brooks Burdine,All,215,24,81.5,100.6,102.8,25.0%,6.4°,10.2°,37.5,4.2%,1,0.333,.227,0.435,.372,37.5%,29.2%,25.0%,35.3%,60.3%,89.4%,21.2%,28.9%,133.0
Binghamton,Matthew Bolton,All,639,118,89.6,102.3,106.7,39.0%,12.7°,13.6°,34.7,5.9%,7,0.324,.298,0.435,.413,41.5%,28.0%,20.3%,41.3%,69.6%,86.7%,19.2%,17.4%,132.0
Samford,Jake Souders,All,845,158,91.9,110.6,115.1,49.4%,8.6°,11.3°,32.9,10.8%,17,0.355,.339,0.435,.445,43.7%,25.9%,26.6%,46.2%,71.1%,89.5%,27.6%,21.3%,84.0
Mount St. Mary's,Ty Fredo,All,463,74,86.0,102.3,106.1,28.4%,11.6°,14.7°,41.9,5.4%,4,0.298,.272,0.435,.395,32.4%,28.4%,35.1%,35.4%,64.5%,81.7%,15.9%,21.3%,138.0
TCU,Sawyer Strosnider,All,905,143,92.0,109.8,115.5,49.0%,9.0°,11.8°,30.1,11.2%,16,0.273,.305,0.435,.459,41.3%,30.1%,23.8%,43.8%,67.2%,84.1%,27.8%,25.8%,66.0
Arkansas,Camden Kozeal,All,955,164,90.9,108.2,110.2,53.7%,12.5°,20.5°,37.2,19.5%,32,0.299,.316,0.435,.491,39.6%,32.3%,22.6%,43.9%,66.1%,78.3%,25.0%,27.2%,90.0
UT Tyler,Tanner Hornback,All,129,17,82.8,93.9,94.9,0.0%,6.0°,-,17.6,0.0%,0,0.391,.302,0.435,.377,64.7%,17.6%,17.6%,33.3%,61.8%,94.1%,12.2%,7.0%,136.0
College of Charleston,Dylan Johnson,All,854,168,85.7,100.2,106.5,29.2%,13.1°,16.1°,35.1,3.6%,6,0.353,.316,0.435,.405,41.7%,25.6%,26.8%,45.0%,70.1%,90.2%,26.2%,16.4%,100.0
North Florida,Boone Hosey,All,731,86,92.5,106.1,109.2,51.2%,10.4°,12.6°,47.7,14.0%,12,0.326,.306,0.435,.443,39.5%,20.9%,38.4%,37.3%,59.9%,78.2%,18.0%,26.4%,95.0
Akron,Blake Bowen,All,626,78,89.6,102.6,106.7,44.9%,17.8°,23.3°,38.5,7.7%,6,0.308,.279,0.435,.434,37.2%,34.6%,23.1%,35.8%,60.9%,81.9%,15.4%,23.7%,126.0
Towson,Keldrin Rodriguez,All,462,86,86.6,99.7,105.4,26.7%,15.4°,16.5°,36.0,2.3%,2,0.333,.260,0.435,.394,37.2%,15.1%,29.1%,43.7%,69.0%,88.3%,22.6%,16.8%,105.0
Nevada,Mikey Cruz Jr.,All,520,115,90.1,104.5,108.1,43.5%,13.1°,8.4°,33.9,2.6%,3,0.359,.326,0.435,.396,37.4%,26.1%,31.3%,43.3%,64.7%,92.1%,28.2%,15.6%,81.0
Maryland,Nate Hawton-Henley,All,374,53,89.3,101.5,103.7,41.5%,8.9°,5.6°,35.8,3.8%,2,0.378,.284,0.435,.390,45.3%,24.5%,28.3%,37.4%,64.7%,77.2%,17.9%,27.1%,110.0
Utah Tech,Kyle McDaniel,All,893,170,86.4,100.7,106.2,29.4%,8.0°,9.5°,38.8,2.4%,4,0.34,.326,0.434,.422,45.9%,21.2%,27.6%,34.9%,57.6%,95.7%,16.0%,7.7%,116.0
