Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
Indiana State,Luis Hernandez,All,285,55,92.0,104.2,105.2,45.5%,15.9°,17.3°,32.7,7.3%,4,0.324,.272,0.44,.406,32.7%,23.6%,27.3%,51.6%,77.3%,78.3%,33.1%,29.9%,68.0
Whitman,Mateus Conaway,All,37,5,82.5,92.4,95.5,40.0%,-3.5°,4.7°,40.0,0.0%,0,0.429,.375,0.44,.408,60.0%,0.0%,40.0%,35.1%,50.0%,88.9%,21.1%,15.4%,102.0
Fresno State,Grady Morgan,All,530,107,88.9,104.7,109.8,35.5%,13.5°,11.5°,29.0,4.7%,5,0.328,.280,0.44,.402,33.6%,29.0%,22.4%,42.6%,70.3%,89.1%,24.6%,17.3%,135.0
East Tennessee State,Cody Miller,All,132,16,86.0,98.1,98.5,31.2%,15.1°,16.0°,50.0,0.0%,0,0.32,.210,0.44,.377,25.0%,25.0%,31.2%,31.1%,45.0%,85.2%,19.4%,17.1%,75.0
New Mexico State,Mitch Namie,All,532,83,88.7,103.7,105.6,36.1%,6.5°,7.8°,33.7,2.4%,2,0.333,.276,0.439,.385,45.8%,18.1%,26.5%,42.7%,75.2%,83.9%,22.1%,26.4%,116.0
Radford,Cameron Pittman,All,302,73,85.7,99.4,103.2,24.7%,12.6°,11.0°,34.2,0.0%,0,0.355,.314,0.439,.397,41.1%,16.4%,27.4%,42.4%,72.6%,86.7%,18.0%,15.6%,139.0
Michigan,Jonathan Kim,All,266,46,85.7,102.3,108.2,28.3%,6.9°,14.3°,26.1,4.3%,2,0.348,.212,0.439,.306,43.5%,26.1%,21.7%,55.3%,79.8%,84.5%,32.1%,25.9%,93.0
Vanderbilt,Alan Espinal,All,621,84,94.5,110.3,112.5,59.5%,14.9°,13.6°,33.3,14.3%,12,0.333,.285,0.439,.408,35.7%,23.8%,28.6%,44.1%,69.2%,75.4%,24.1%,33.9%,97.0
College of Charleston,Cole Singsank,All,462,70,92.6,107.8,110.6,52.9%,17.9°,13.4°,38.6,10.0%,7,0.293,.293,0.439,.437,30.0%,24.3%,28.6%,42.0%,68.5%,78.8%,21.8%,29.9%,114.0
Ball State,Houston King,All,53,12,87.0,96.4,96.8,25.0%,11.9°,16.5°,50.0,0.0%,0,0.357,.293,0.439,.326,41.7%,16.7%,41.7%,39.6%,58.6%,94.1%,16.7%,9.5%,83.0
Virginia Tech,Nick Locurto,All,64,7,85.1,101.0,102.6,28.6%,16.1°,30.1°,42.9,14.3%,1,0.25,.230,0.439,.385,42.9%,42.9%,14.3%,32.8%,51.4%,88.9%,10.3%,9.5%,71.0
North Georgia,Andrews Opata,All,246,48,90.5,104.8,108.2,36.4%,8.2°,1.3°,38.6,6.2%,3,0.356,.296,0.438,.397,43.2%,22.7%,34.1%,46.3%,75.2%,86.1%,24.8%,21.9%,108.0
Florida Atlantic,Christian Adams,All,182,30,93.3,102.3,109.5,56.7%,17.2°,17.5°,46.7,6.7%,2,0.316,.291,0.438,.455,23.3%,16.7%,36.7%,42.9%,65.7%,87.0%,28.6%,21.8%,85.0
Stetson,Daniel Labrador,All,252,45,94.3,107.3,110.0,53.3%,15.4°,8.3°,24.4,4.4%,2,0.357,.318,0.438,.385,44.4%,11.1%,20.0%,40.5%,59.6%,91.9%,27.0%,20.6%,63.0
Georgetown,Owen Carapellotti,All,223,31,91.3,106.1,109.7,45.2%,24.7°,20.5°,38.7,12.9%,4,0.31,.280,0.438,.478,22.6%,35.5%,25.8%,44.8%,80.9%,76.4%,20.9%,28.0%,122.0
Saint Louis,Easton Richter,All,119,15,95.9,101.2,105.6,53.3%,22.1°,20.5°,33.3,0.0%,0,0.263,.283,0.438,.448,33.3%,13.3%,26.7%,30.3%,60.6%,85.0%,18.6%,13.9%,123.0
Longwood,Drew Camp,All,234,38,87.3,104.1,107.0,28.9%,16.8°,19.7°,47.4,10.5%,4,0.353,.288,0.438,.440,28.9%,18.4%,36.8%,43.2%,66.1%,82.1%,19.8%,22.8%,111.0
Florida International,Austin Dearing,All,377,46,90.0,107.9,110.0,34.8%,6.6°,14.7°,34.8,6.5%,3,0.333,.232,0.438,.352,41.3%,19.6%,23.9%,40.8%,62.1%,76.8%,26.3%,35.7%,92.0
Louisville,Zion Rose,All,410,92,91.2,106.6,112.0,39.1%,8.9°,8.8°,31.5,6.5%,6,0.373,.294,0.438,.409,39.1%,16.3%,21.7%,45.9%,69.5%,92.7%,27.9%,14.9%,98.0
Young Harris,Jace Wilson,All,127,18,86.0,92.9,94.0,5.9%,19.3°,-,47.1,0.0%,0,0.304,.265,0.438,.404,28.6%,28.6%,42.9%,39.4%,72.1%,87.1%,22.6%,20.0%,123.0
Wake Forest,Liam Willson,All,44,7,93.1,103.4,106.6,28.6%,21.4°,23.9°,57.1,0.0%,0,0.4,.292,0.438,.334,0.0%,28.6%,57.1%,43.2%,40.0%,75.0%,45.8%,47.4%,3.0
Kennesaw State,Donovan Cash,All,148,28,85.5,105.7,108.4,35.7%,1.5°,12.7°,21.4,3.6%,1,0.343,.249,0.438,.365,42.9%,10.7%,25.0%,38.5%,62.5%,82.9%,23.9%,24.6%,92.0
Texas A&M,Gavin Grahovac,All,885,117,92.8,107.6,112.5,53.8%,14.9°,15.5°,36.8,12.0%,14,0.3,.268,0.437,.425,32.5%,21.4%,25.6%,43.2%,65.6%,82.0%,26.2%,29.3%,101.0
Michigan,Mitchell Voit,All,582,84,89.1,104.5,110.2,42.9%,14.5°,12.0°,31.0,7.1%,6,0.306,.228,0.437,.353,29.8%,29.8%,21.4%,47.4%,70.6%,78.0%,31.4%,29.7%,91.0
Iowa,Reese Moore,All,481,80,91.3,106.8,110.4,47.5%,14.9°,14.0°,37.5,7.5%,6,0.32,.314,0.437,.443,32.5%,23.8%,35.0%,41.2%,65.4%,82.1%,23.2%,24.7%,141.0
UMES,Bronson Taylor,All,58,7,85.5,93.5,94.4,0.0%,26.9°,-,57.1,0.0%,0,0.364,.204,0.437,.213,0.0%,28.6%,42.9%,44.8%,78.3%,77.8%,22.9%,19.2%,128.0
LSU,Tommy White,All,574,132,91.6,107.4,112.5,50.8%,10.3°,10.1°,32.6,11.4%,15,0.346,.345,0.437,.450,42.4%,12.9%,25.0%,53.1%,81.3%,83.5%,32.0%,22.6%,78.0
USC Upstate,Troy Hamilton,All,530,103,88.4,101.4,105.0,34.0%,16.5°,14.4°,41.7,6.8%,7,0.32,.299,0.437,.412,28.2%,26.2%,32.0%,46.4%,69.3%,93.0%,29.1%,16.7%,101.0
Tulane,Marcus Cline,All,414,68,88.6,100.1,103.9,29.4%,20.1°,11.0°,36.8,1.5%,1,0.318,.250,0.437,.369,30.9%,23.5%,26.5%,42.8%,69.0%,90.0%,23.8%,20.9%,111.0
Alabama,Brady Neal,All,384,60,88.8,104.5,107.5,40.0%,16.5°,21.1°,35.0,6.7%,4,0.28,.244,0.437,.410,30.0%,28.3%,21.7%,39.8%,60.6%,78.6%,23.4%,32.7%,103.0
Fairleigh Dickinson,Ben Avila,All,69,10,88.2,100.2,100.7,40.0%,18.1°,16.9°,40.0,0.0%,0,0.429,.271,0.437,.351,30.0%,10.0%,50.0%,46.4%,77.8%,90.5%,26.2%,28.1%,82.0
UMBC,Dawson Baracani,All,312,52,86.9,96.3,99.1,15.4%,14.3°,8.5°,44.2,0.0%,0,0.348,.274,0.437,.377,34.6%,21.2%,34.6%,36.2%,59.2%,89.7%,15.8%,16.8%,123.0
New Orleans,Bryce Calloway,All,211,30,91.8,109.4,112.1,36.7%,9.8°,22.1°,36.7,10.0%,3,0.333,.257,0.437,.419,26.7%,23.3%,30.0%,39.3%,67.1%,83.6%,21.7%,30.1%,89.0
Georgetown,Jake Hyde,All,230,39,91.4,103.5,103.8,51.3%,16.0°,19.7°,41.0,17.9%,7,0.292,.323,0.437,.475,30.8%,28.2%,30.8%,46.1%,72.6%,78.3%,27.4%,33.0%,124.0
North Carolina,Luke Stevenson,All,460,65,93.6,106.8,112.2,50.8%,21.3°,21.0°,47.7,20.0%,13,0.3,.299,0.437,.477,23.1%,35.4%,29.2%,42.4%,68.4%,82.5%,20.7%,25.6%,91.0
CLA_CLA,Andrew Mazzone,All,32,7,85.0,111.4,111.5,28.6%,4.4°,9.1°,14.3,14.3%,1,0.375,.293,0.437,.351,57.1%,14.3%,14.3%,43.8%,90.0%,100.0%,22.7%,21.4%,120.0
Dallas Baptist,Chayton Krauss,All,573,101,95.5,108.6,110.4,54.5%,14.0°,16.0°,41.6,22.8%,23,0.356,.359,0.437,.515,34.7%,26.7%,28.7%,49.0%,72.2%,87.0%,33.0%,28.8%,77.0
Nebraska,Rhett Stokes,All,368,63,87.2,103.6,107.8,36.5%,4.1°,8.2°,27.0,1.6%,1,0.407,.257,0.436,.338,50.8%,9.5%,25.4%,41.0%,62.2%,92.2%,24.0%,19.9%,95.0
UC Santa Barbara,Ivan Brethowr,All,487,83,91.7,107.7,113.7,49.4%,19.3°,18.0°,34.9,18.1%,15,0.292,.352,0.436,.519,28.9%,41.0%,21.7%,43.7%,76.3%,88.0%,23.6%,23.0%,116.0
Bowling Green,Sam Seidel,All,129,27,87.1,97.5,100.4,18.5%,17.9°,14.4°,37.0,0.0%,0,0.345,.290,0.436,.370,25.9%,37.0%,25.9%,37.2%,57.7%,93.3%,23.4%,8.3%,120.0
Dartmouth,Tyler Robinson,All,107,17,85.0,102.4,103.7,17.6%,20.7°,14.1°,47.1,0.0%,0,0.36,.202,0.436,.251,23.5%,17.6%,47.1%,42.1%,55.8%,87.5%,32.8%,22.2%,83.0
New Mexico State,Steve Solorzano,All,339,56,83.6,99.7,103.2,26.8%,2.4°,10.7°,28.6,0.0%,0,0.338,.307,0.436,.398,58.9%,14.3%,21.4%,38.6%,61.7%,94.9%,24.6%,16.0%,117.0
North Dakota State,Will Busch,All,130,23,84.9,100.7,103.5,30.4%,28.5°,14.4°,34.8,4.3%,1,0.296,.238,0.436,.367,30.4%,17.4%,26.1%,38.5%,67.2%,87.8%,13.0%,24.0%,113.0
Evansville,Chase Hug,All,477,53,94.1,104.9,108.0,50.9%,25.0°,13.8°,45.3,5.7%,3,0.301,.285,0.436,.438,15.1%,24.5%,41.5%,33.3%,55.9%,91.2%,16.5%,15.7%,128.0
Wagner,Diego Tavarez,All,47,7,87.7,97.3,98.3,28.6%,18.2°,3.4°,28.6,0.0%,0,0.286,.351,0.436,.493,42.9%,0.0%,28.6%,17.0%,35.7%,100.0%,9.1%,0.0%,183.0
Jacksonville State,Caleb Johnson,All,538,66,89.4,103.4,106.8,42.4%,17.3°,19.4°,42.4,9.1%,6,0.324,.235,0.436,.350,21.2%,33.3%,30.3%,44.8%,68.4%,80.8%,27.4%,31.1%,94.0
