Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
New Mexico,Josh McAlister,All,83,14,91.9,105.5,105.6,42.9%,12.4°,12.9°,42.9,14.3%,2,0.35,0.289,0.44,0.373,42.9%,14.3%,35.7%,50.6%,73.7%,85.7%,31.1%,23.8%,137
Clemson,Tryston McCladdie,All,66,7,91.9,97.4,98.4,42.9%,3.0°,4.7°,42.9,0.0%,0,0.333,0.221,0.44,0.434,42.9%,14.3%,28.6%,34.8%,45.5%,90.0%,29.5%,43.5%,79
Florida A&M,Ben Kim,All,37,6,72.2,80.1,80.5,0.0%,29.3°,-,16.7,0.0%,0,0.429,0.197,0.44,0.26,33.3%,33.3%,16.7%,35.1%,58.8%,100.0%,15.0%,7.7%,92
Rutgers,Peyton Bonds,All,227,50,91.6,107.9,119.3,44.0%,9.3°,8.6°,30.0,6.0%,3,0.377,0.31,0.44,0.384,50.0%,26.0%,24.0%,51.5%,75.0%,88.5%,31.7%,12.8%,77
UNC Wilmington,Bromley Thornton,All,59,10,91.6,97.2,106.0,30.0%,18.3°,13.4°,70.0,0.0%,0,0.375,0.314,0.44,0.359,20.0%,30.0%,50.0%,47.5%,46.2%,83.3%,48.5%,32.1%,19
Mount St. Mary's,Alexander Mendes,All,33,9,85.1,101.7,103.4,44.4%,16.0°,13.1°,44.4,0.0%,0,0.4,0.313,0.44,0.387,44.4%,33.3%,22.2%,45.5%,66.7%,100.0%,27.8%,6.7%,113
Western Carolina,Jack Spyke,All,157,28,91.1,101.1,102.4,39.3%,30.6°,20.4°,46.4,7.1%,2,0.303,0.263,0.44,0.395,14.3%,50.0%,32.1%,40.1%,69.3%,92.3%,13.4%,15.9%,110
Keiser,Matthew Nichols,All,33,7,80.2,95.4,95.7,14.3%,-19.6°,3.2°,14.3,0.0%,0,0.429,0.335,0.44,0.377,85.7%,0.0%,14.3%,36.4%,76.9%,100.0%,10.0%,0.0%,172
Longwood,Carter Newman,All,113,16,89.0,100.9,103.1,31.2%,17.9°,12.6°,37.5,6.2%,1,0.391,0.27,0.44,0.339,31.2%,25.0%,31.2%,43.4%,65.6%,76.2%,14.3%,28.6%,127
Columbia,Jack Kail,All,192,45,83.7,97.8,102.1,24.4%,12.6°,18.7°,44.4,0.0%,0,0.347,0.302,0.44,0.373,33.3%,33.3%,33.3%,44.8%,65.5%,89.1%,28.7%,15.1%,77
CSU Bakersfield,Matthew Dobson,All,57,8,79.8,68.4,68.4,25.0%,-24.2°,-5.6°,12.5,0.0%,0,0.333,0.25,0.44,0.459,75.0%,12.5%,0.0%,43.9%,77.3%,82.4%,22.9%,16.0%,150
Davidson,Chris Schuchart,All,141,24,87.0,103.6,106.3,45.8%,11.5°,10.3°,62.5,8.3%,2,0.333,0.373,0.44,0.468,33.3%,25.0%,41.7%,44.0%,66.7%,90.5%,25.6%,21.0%,104
Abilene Christian,Brady Gray,All,68,7,91.0,101.9,105.9,42.9%,17.5°,17.1°,57.1,0.0%,0,0.308,0.247,0.439,0.379,28.6%,42.9%,28.6%,36.8%,60.6%,75.0%,14.3%,32.0%,128
Trevecca Nazarene,Cole McCallum,All,55,10,91.1,105.4,105.6,40.0%,4.4°,10.1°,30.0,10.0%,1,0.357,0.291,0.439,0.356,50.0%,30.0%,20.0%,58.2%,79.4%,81.5%,23.8%,18.8%,127
Illinois-Chicago,AJ Taylor,All,111,23,86.3,100.0,103.6,21.7%,11.3°,14.5°,30.4,8.7%,2,0.37,0.241,0.439,0.305,47.8%,34.8%,17.4%,40.5%,61.7%,100.0%,25.0%,4.4%,53
Santa Clara,Luke DeVine,All,126,13,85.2,100.8,102.2,23.1%,14.6°,17.0°,30.8,7.7%,1,0.273,0.166,0.439,0.306,38.5%,38.5%,15.4%,43.7%,57.4%,85.2%,35.4%,30.9%,67
Vanderbilt,David Mendez,All,36,5,92.2,97.6,97.7,60.0%,10.6°,13.0°,40.0,0.0%,0,0.2,0.311,0.439,0.447,40.0%,40.0%,20.0%,36.1%,76.9%,80.0%,13.0%,15.4%,144
Sacramento State,Jameson Mullinax,All,60,9,86.4,94.1,99.6,11.1%,33.5°,17.5°,44.4,0.0%,0,0.357,0.228,0.439,0.236,11.1%,33.3%,33.3%,45.0%,63.3%,78.9%,26.7%,37.0%,96
Maryland,Alex Calarco,All,245,39,87.7,105.2,111.8,35.9%,18.1°,20.8°,33.3,12.8%,5,0.28,0.232,0.439,0.391,28.2%,35.9%,25.6%,36.3%,63.7%,89.2%,16.8%,20.2%,117
Mercer,Bradley Frye,All,199,43,89.5,104.2,105.2,53.5%,4.7°,8.0°,39.5,4.7%,2,0.407,0.353,0.439,0.406,58.1%,20.9%,20.9%,56.3%,76.0%,89.0%,37.9%,24.1%,92
Florida,Colby Shelton,All,165,33,88.4,105.4,106.9,54.5%,11.5°,16.7°,36.4,6.1%,2,0.361,0.4,0.439,0.499,42.4%,30.3%,27.3%,57.0%,76.2%,86.9%,38.8%,17.0%,47
Bradley,CJ Trask,All,26,5,88.6,99.6,101.1,40.0%,13.8°,8.8°,40.0,20.0%,1,0.167,0.235,0.439,0.446,40.0%,40.0%,20.0%,38.5%,60.0%,100.0%,25.0%,30.0%,151
Louisville,Matt Klein,All,154,26,85.9,103.2,103.3,34.6%,5.2°,4.1°,30.8,3.8%,1,0.312,0.261,0.439,0.366,50.0%,30.8%,19.2%,33.8%,55.4%,86.1%,18.0%,19.2%,110
Maryland,Paul Jones II,All,53,8,85.8,102.0,106.2,25.0%,12.9°,27.6°,37.5,12.5%,1,0.222,0.244,0.439,0.447,50.0%,37.5%,0.0%,39.6%,83.3%,86.7%,17.1%,23.8%,131
Penn,Ryan Taylor,All,138,24,90.6,97.2,98.0,37.5%,13.0°,5.8°,25.0,0.0%,0,0.344,0.228,0.439,0.295,45.8%,29.2%,20.8%,42.8%,70.5%,81.4%,20.8%,27.1%,118
